restaurent_name,location,cuisine,ratings,images_url
Castle Barbeque,Connaught Place,North Indian,3.5,https://im1.dineout.co.in/images/uploads/restaurant/sharpen/8/k/b/p86792-16062953735fbe1f4d3fb7e.jpg?tr=tr:n-medium
Jungle Jamboree,"3CS Mall,",North Indian,3.9,https://im1.dineout.co.in/images/uploads/restaurant/sharpen/3/h/c/p3643-144497865356209fdd65746.jpg?tr=tr:n-medium
Castle Barbeque,"Pacific Mall,",Chinese,3.9,https://im1.dineout.co.in/images/uploads/restaurant/sharpen/3/j/o/p38113-15959192065f1fcb666130c.jpg?tr=tr:n-medium
Cafe Knosh,"The Leela Ambience Convention Hotel,",Italian,4.3,https://im1.dineout.co.in/images/uploads/restaurant/sharpen/4/p/m/p406-15438184745c04ccea491bc.jpg?tr=tr:n-medium
The Barbeque Company,"Gardens Galleria,",North Indian,4,https://im1.dineout.co.in/images/uploads/restaurant/sharpen/7/p/k/p79307-16051787755fad1597f2bf9.jpg?tr=tr:n-medium
India Grill,"Hilton Garden Inn,",North Indian,3.9,https://im1.dineout.co.in/images/uploads/restaurant/sharpen/2/v/t/p2687-1482477169585cce712b90f.jpg?tr=tr:n-medium
Delhi Barbeque,"Taurus Sarovar Portico,",North Indian,3.7,https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/v/f/p52501-16006856545f68865616659.jpg?tr=tr:n-medium
The Monarch - Bar Be Que Village,"Indirapuram Habitat Centre,",North Indian,3.9,https://im1.dineout.co.in/images/uploads/restaurant/sharpen/3/n/o/p34822-15599107305cfa594a13c24.jpg?tr=tr:n-medium
World Cafe,"Vibe by The Lalit Traveller,",North Indian,4.2,https://im1.dineout.co.in/images/uploads/restaurant/sharpen/1/p/y/p12366-1466935020576fa6ecdc359.jpg?tr=tr:n-medium
Indian Grill Room,"Suncity Business Tower,",North Indian,4.3,https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/y/d/p549-15291237715b2493bb2a415.jpg?tr=tr:n-medium
Mad 4 Bar B Que,Sector 29,North Indian,3.6,https://im1.dineout.co.in/images/uploads/restaurant/sharpen/4/n/t/p43488-1647323111623027e763947.jpg?tr=tr:n-medium
Barbeque 29,NIT,North Indian,4.2,https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/w/r/p58842-15624171585d209806d9143.jpg?tr=tr:n-medium
Glasshouse,"DoubleTree By Hilton Gurugram Baani Square,",European,4,https://im1.dineout.co.in/images/uploads/restaurant/sharpen/9/m/a/p9875-1645177960620f6c68ecfef.jpg?tr=tr:n-medium
